record_id,event_date,academic_year,month_name,program_area,activity_type,category,modality,count,attendance,partner_count,platform_logins,profile_completions,opportunity_count,notes
52,2024-12-15,2024-2025,December,program_activity,outreach_session,orientation,virtual,109,233,0,0,0,0,synthetic demo row
53,2024-12-15,2024-2025,December,platform_outcomes,opportunity_posting,advising,virtual,107,0,0,0,0,472,synthetic demo row
54,2024-12-15,2024-2025,December,partner_engagement,partner_event,login,not_applicable,5,104,8,0,0,0,synthetic demo row
55,2024-12-15,2024-2025,December,program_activity,workshop,posting,not_applicable,113,291,0,0,0,0,synthetic demo row
56,2024-12-15,2024-2025,December,program_activity,outreach_session,presentation,in_person,53,128,0,0,0,0,synthetic demo row
57,2024-12-15,2024-2025,December,partner_engagement,large_scale_event,advising,in_person,20,211,10,0,0,0,synthetic demo row
58,2024-12-15,2024-2025,December,partner_engagement,large_scale_event,presentation,in_person,127,255,16,0,0,0,synthetic demo row
59,2024-12-15,2024-2025,December,partner_engagement,large_scale_event,networking,in_person,25,72,2,0,0,0,synthetic demo row
60,2024-12-15,2024-2025,December,platform_outcomes,platform_activity,networking,virtual,65,0,0,926,81,0,synthetic demo row
61,2025-01-15,2024-2025,January,partner_engagement,large_scale_event,orientation,hybrid,15,173,2,0,0,0,synthetic demo row
62,2025-01-15,2024-2025,January,program_activity,workshop,posting,hybrid,57,228,0,0,0,0,synthetic demo row
63,2025-01-15,2024-2025,January,program_activity,outreach_session,presentation,hybrid,72,173,0,0,0,0,synthetic demo row
64,2025-01-15,2024-2025,January,partner_engagement,partner_event,advising,not_applicable,85,277,2,0,0,0,synthetic demo row
65,2025-01-15,2024-2025,January,partner_engagement,large_scale_event,presentation,hybrid,30,48,17,0,0,0,synthetic demo row
66,2025-01-15,2024-2025,January,program_activity,outreach_session,presentation,hybrid,94,111,0,0,0,0,synthetic demo row
67,2025-01-15,2024-2025,January,program_activity,workshop,login,hybrid,45,157,0,0,0,0,synthetic demo row
68,2025-01-15,2024-2025,January,partner_engagement,large_scale_event,login,hybrid,140,142,21,0,0,0,synthetic demo row
69,2025-01-15,2024-2025,January,platform_outcomes,platform_activity,advising,in_person,31,0,0,375,155,0,synthetic demo row
70,2025-01-15,2024-2025,January,platform_outcomes,platform_activity,networking,virtual,44,0,0,657,164,0,synthetic demo row
71,2025-02-15,2024-2025,February,platform_outcomes,platform_activity,networking,not_applicable,92,0,0,516,155,0,synthetic demo row
72,2025-02-15,2024-2025,February,program_activity,workshop,posting,not_applicable,18,41,0,0,0,0,synthetic demo row
73,2025-02-15,2024-2025,February,platform_outcomes,opportunity_posting,advising,hybrid,75,0,0,0,0,32,synthetic demo row
74,2025-02-15,2024-2025,February,platform_outcomes,opportunity_posting,skill_building,virtual,38,0,0,0,0,336,synthetic demo row
75,2025-02-15,2024-2025,February,platform_outcomes,platform_activity,advising,in_person,118,0,0,975,24,0,synthetic demo row
76,2025-02-15,2024-2025,February,platform_outcomes,platform_activity,networking,virtual,43,0,0,173,209,0,synthetic demo row
77,2025-02-15,2024-2025,February,partner_engagement,partner_event,skill_building,in_person,37,47,9,0,0,0,synthetic demo row
78,2025-02-15,2024-2025,February,program_activity,workshop,presentation,in_person,58,232,0,0,0,0,synthetic demo row
79,2025-02-15,2024-2025,February,program_activity,workshop,posting,virtual,109,267,0,0,0,0,synthetic demo row
80,2025-02-15,2024-2025,February,program_activity,outreach_session,orientation,in_person,46,91,0,0,0,0,synthetic demo row
81,2025-03-15,2024-2025,March,program_activity,outreach_session,orientation,virtual,90,290,0,0,0,0,synthetic demo row
82,2025-03-15,2024-2025,March,program_activity,workshop,advising,not_applicable,45,224,0,0,0,0,synthetic demo row
83,2025-03-15,2024-2025,March,platform_outcomes,opportunity_posting,orientation,virtual,14,0,0,0,0,449,synthetic demo row
84,2025-03-15,2024-2025,March,program_activity,outreach_session,skill_building,virtual,122,211,0,0,0,0,synthetic demo row
85,2025-03-15,2024-2025,March,program_activity,outreach_session,presentation,not_applicable,11,179,0,0,0,0,synthetic demo row
86,2025-03-15,2024-2025,March,program_activity,workshop,login,hybrid,76,93,0,0,0,0,synthetic demo row
87,2025-03-15,2024-2025,March,program_activity,workshop,posting,hybrid,135,237,0,0,0,0,synthetic demo row
88,2025-03-15,2024-2025,March,program_activity,service_interaction,presentation,hybrid,34,100,0,0,0,0,synthetic demo row
89,2025-03-15,2024-2025,March,program_activity,service_interaction,orientation,hybrid,32,184,0,0,0,0,synthetic demo row
90,2025-03-15,2024-2025,March,platform_outcomes,platform_activity,advising,not_applicable,85,0,0,993,281,0,synthetic demo row
91,2025-04-15,2024-2025,April,partner_engagement,large_scale_event,posting,not_applicable,53,118,1,0,0,0,synthetic demo row
92,2025-04-15,2024-2025,April,program_activity,service_interaction,posting,virtual,138,275,0,0,0,0,synthetic demo row
93,2025-04-15,2024-2025,April,program_activity,workshop,posting,hybrid,115,132,0,0,0,0,synthetic demo row
94,2025-04-15,2024-2025,April,partner_engagement,large_scale_event,posting,hybrid,85,254,3,0,0,0,synthetic demo row
95,2025-04-15,2024-2025,April,partner_engagement,large_scale_event,skill_building,not_applicable,84,254,13,0,0,0,synthetic demo row
96,2025-04-15,2024-2025,April,platform_outcomes,platform_activity,orientation,not_applicable,80,0,0,360,118,0,synthetic demo row
97,2025-04-15,2024-2025,April,platform_outcomes,platform_activity,networking,in_person,49,0,0,716,227,0,synthetic demo row
98,2025-04-15,2024-2025,April,program_activity,workshop,orientation,hybrid,78,131,0,0,0,0,synthetic demo row
99,2025-04-15,2024-2025,April,partner_engagement,partner_event,presentation,not_applicable,118,231,21,0,0,0,synthetic demo row
100,2025-04-15,2024-2025,April,platform_outcomes,opportunity_posting,advising,hybrid,48,0,0,0,0,347,synthetic demo row
101,2025-05-15,2024-2025,May,partner_engagement,large_scale_event,presentation,hybrid,90,113,24,0,0,0,synthetic demo row
102,2025-05-15,2024-2025,May,program_activity,outreach_session,advising,in_person,55,92,0,0,0,0,synthetic demo row
103,2025-05-15,2024-2025,May,program_activity,outreach_session,login,in_person,126,282,0,0,0,0,synthetic demo row
104,2025-05-15,2024-2025,May,partner_engagement,partner_event,presentation,not_applicable,111,272,18,0,0,0,synthetic demo row
105,2025-05-15,2024-2025,May,partner_engagement,partner_event,posting,in_person,107,169,4,0,0,0,synthetic demo row
106,2025-05-15,2024-2025,May,platform_outcomes,opportunity_posting,orientation,virtual,32,0,0,0,0,408,synthetic demo row
107,2025-05-15,2024-2025,May,program_activity,outreach_session,advising,virtual,137,255,0,0,0,0,synthetic demo row
108,2025-05-15,2024-2025,May,platform_outcomes,opportunity_posting,presentation,not_applicable,36,0,0,0,0,243,synthetic demo row
109,2025-05-15,2024-2025,May,platform_outcomes,platform_activity,networking,not_applicable,140,0,0,749,246,0,synthetic demo row
110,2025-05-15,2024-2025,May,platform_outcomes,opportunity_posting,presentation,not_applicable,119,0,0,0,0,469,synthetic demo row
111,2025-06-15,2024-2025,June,partner_engagement,partner_event,login,hybrid,71,263,7,0,0,0,synthetic demo row
112,2025-06-15,2024-2025,June,platform_outcomes,opportunity_posting,posting,virtual,138,0,0,0,0,258,synthetic demo row
113,2025-06-15,2024-2025,June,program_activity,workshop,posting,hybrid,117,136,0,0,0,0,synthetic demo row
114,2025-06-15,2024-2025,June,program_activity,outreach_session,skill_building,in_person,74,159,0,0,0,0,synthetic demo row
115,2025-06-15,2024-2025,June,program_activity,outreach_session,orientation,virtual,43,102,0,0,0,0,synthetic demo row
116,2025-06-15,2024-2025,June,platform_outcomes,platform_activity,orientation,hybrid,59,0,0,231,232,0,synthetic demo row
117,2025-06-15,2024-2025,June,partner_engagement,large_scale_event,presentation,not_applicable,124,230,1,0,0,0,synthetic demo row
118,2025-06-15,2024-2025,June,partner_engagement,partner_event,orientation,not_applicable,10,205,18,0,0,0,synthetic demo row
119,2025-06-15,2024-2025,June,program_activity,service_interaction,login,not_applicable,95,171,0,0,0,0,synthetic demo row
120,2025-06-15,2024-2025,June,platform_outcomes,opportunity_posting,posting,virtual,112,0,0,0,0,285,synthetic demo row
121,2025-07-15,2025-2026,July,partner_engagement,partner_event,orientation,in_person,61,130,13,0,0,0,synthetic demo row
122,2025-07-15,2025-2026,July,partner_engagement,partner_event,login,not_applicable,91,262,21,0,0,0,synthetic demo row
123,2025-07-15,2025-2026,July,platform_outcomes,platform_activity,networking,in_person,47,0,0,1057,85,0,synthetic demo row
124,2025-07-15,2025-2026,July,partner_engagement,partner_event,orientation,virtual,11,32,20,0,0,0,synthetic demo row
125,2025-07-15,2025-2026,July,platform_outcomes,opportunity_posting,advising,hybrid,123,0,0,0,0,103,synthetic demo row
126,2025-07-15,2025-2026,July,partner_engagement,partner_event,skill_building,hybrid,88,142,14,0,0,0,synthetic demo row
127,2025-07-15,2025-2026,July,platform_outcomes,opportunity_posting,login,not_applicable,102,0,0,0,0,152,synthetic demo row
128,2025-07-15,2025-2026,July,program_activity,workshop,advising,in_person,25,145,0,0,0,0,synthetic demo row
129,2025-07-15,2025-2026,July,program_activity,workshop,advising,in_person,62,228,0,0,0,0,synthetic demo row
130,2025-07-15,2025-2026,July,platform_outcomes,opportunity_posting,presentation,virtual,12,0,0,0,0,496,synthetic demo row
131,2025-08-15,2025-2026,August,platform_outcomes,opportunity_posting,presentation,virtual,10,0,0,0,0,328,synthetic demo row
132,2025-08-15,2025-2026,August,program_activity,outreach_session,advising,virtual,126,297,0,0,0,0,synthetic demo row
133,2025-08-15,2025-2026,August,partner_engagement,partner_event,presentation,in_person,70,266,11,0,0,0,synthetic demo row
134,2025-08-15,2025-2026,August,platform_outcomes,opportunity_posting,advising,in_person,46,0,0,0,0,169,synthetic demo row
135,2025-08-15,2025-2026,August,program_activity,workshop,posting,virtual,101,202,0,0,0,0,synthetic demo row
136,2025-08-15,2025-2026,August,program_activity,service_interaction,posting,hybrid,67,93,0,0,0,0,synthetic demo row
137,2025-08-15,2025-2026,August,platform_outcomes,opportunity_posting,networking,in_person,35,0,0,0,0,417,synthetic demo row
138,2025-08-15,2025-2026,August,program_activity,workshop,skill_building,in_person,114,283,0,0,0,0,synthetic demo row
139,2025-08-15,2025-2026,August,partner_engagement,large_scale_event,login,not_applicable,92,95,13,0,0,0,synthetic demo row
140,2025-08-15,2025-2026,August,program_activity,service_interaction,posting,not_applicable,115,207,0,0,0,0,synthetic demo row
141,2025-09-15,2025-2026,September,platform_outcomes,platform_activity,posting,hybrid,44,0,0,991,110,0,synthetic demo row
142,2025-09-15,2025-2026,September,partner_engagement,large_scale_event,login,hybrid,128,247,13,0,0,0,synthetic demo row
143,2025-09-15,2025-2026,September,program_activity,workshop,skill_building,not_applicable,67,89,0,0,0,0,synthetic demo row
144,2025-09-15,2025-2026,September,program_activity,outreach_session,networking,not_applicable,123,268,0,0,0,0,synthetic demo row
145,2025-09-15,2025-2026,September,program_activity,workshop,login,hybrid,12,138,0,0,0,0,synthetic demo row
146,2025-09-15,2025-2026,September,program_activity,outreach_session,skill_building,hybrid,129,183,0,0,0,0,synthetic demo row
147,2025-09-15,2025-2026,September,program_activity,workshop,posting,hybrid,76,228,0,0,0,0,synthetic demo row
148,2025-09-15,2025-2026,September,partner_engagement,large_scale_event,advising,virtual,7,139,6,0,0,0,synthetic demo row
149,2025-09-15,2025-2026,September,platform_outcomes,platform_activity,posting,not_applicable,109,0,0,1100,143,0,synthetic demo row
150,2025-09-15,2025-2026,September,platform_outcomes,platform_activity,advising,hybrid,130,0,0,1017,28,0,synthetic demo row
151,2025-10-15,2025-2026,October,program_activity,outreach_session,presentation,hybrid,108,285,0,0,0,0,synthetic demo row
152,2025-10-15,2025-2026,October,platform_outcomes,platform_activity,skill_building,not_applicable,99,0,0,1069,291,0,synthetic demo row
153,2025-10-15,2025-2026,October,platform_outcomes,platform_activity,skill_building,hybrid,89,0,0,820,252,0,synthetic demo row
154,2025-10-15,2025-2026,October,program_activity,workshop,posting,virtual,64,94,0,0,0,0,synthetic demo row
155,2025-10-15,2025-2026,October,program_activity,workshop,networking,virtual,35,225,0,0,0,0,synthetic demo row
156,2025-10-15,2025-2026,October,program_activity,outreach_session,orientation,hybrid,60,249,0,0,0,0,synthetic demo row
157,2025-10-15,2025-2026,October,platform_outcomes,platform_activity,login,virtual,139,0,0,679,71,0,synthetic demo row
158,2025-10-15,2025-2026,October,program_activity,workshop,presentation,hybrid,63,155,0,0,0,0,synthetic demo row
159,2025-10-15,2025-2026,October,program_activity,service_interaction,advising,in_person,37,107,0,0,0,0,synthetic demo row
160,2025-10-15,2025-2026,October,partner_engagement,large_scale_event,posting,not_applicable,79,257,4,0,0,0,synthetic demo row
161,2025-11-15,2025-2026,November,program_activity,service_interaction,skill_building,not_applicable,8,154,0,0,0,0,synthetic demo row
162,2025-11-15,2025-2026,November,partner_engagement,partner_event,advising,hybrid,117,204,5,0,0,0,synthetic demo row
163,2025-11-15,2025-2026,November,platform_outcomes,opportunity_posting,login,in_person,127,0,0,0,0,68,synthetic demo row
164,2025-11-15,2025-2026,November,partner_engagement,partner_event,posting,in_person,130,148,18,0,0,0,synthetic demo row
165,2025-11-15,2025-2026,November,program_activity,outreach_session,skill_building,in_person,43,187,0,0,0,0,synthetic demo row
166,2025-11-15,2025-2026,November,program_activity,outreach_session,login,not_applicable,35,177,0,0,0,0,synthetic demo row
167,2025-11-15,2025-2026,November,partner_engagement,large_scale_event,orientation,not_applicable,62,260,16,0,0,0,synthetic demo row
168,2025-11-15,2025-2026,November,partner_engagement,partner_event,skill_building,in_person,81,231,13,0,0,0,synthetic demo row
169,2025-11-15,2025-2026,November,partner_engagement,large_scale_event,posting,virtual,30,225,6,0,0,0,synthetic demo row
170,2025-11-15,2025-2026,November,program_activity,workshop,presentation,virtual,25,65,0,0,0,0,synthetic demo row
171,2025-12-15,2025-2026,December,partner_engagement,large_scale_event,orientation,not_applicable,24,64,0,0,0,0,synthetic demo row
172,2025-12-15,2025-2026,December,platform_outcomes,platform_activity,presentation,hybrid,125,0,0,696,36,0,synthetic demo row
173,2025-12-15,2025-2026,December,platform_outcomes,platform_activity,posting,virtual,77,0,0,1029,56,0,synthetic demo row
174,2025-12-15,2025-2026,December,program_activity,workshop,advising,virtual,55,163,0,0,0,0,synthetic demo row
175,2025-12-15,2025-2026,December,platform_outcomes,platform_activity,advising,in_person,43,0,0,644,92,0,synthetic demo row
176,2025-12-15,2025-2026,December,program_activity,outreach_session,posting,hybrid,83,235,0,0,0,0,synthetic demo row
177,2025-12-15,2025-2026,December,partner_engagement,partner_event,skill_building,not_applicable,36,155,22,0,0,0,synthetic demo row
178,2025-12-15,2025-2026,December,program_activity,workshop,orientation,not_applicable,133,271,0,0,0,0,synthetic demo row
179,2025-12-15,2025-2026,December,program_activity,service_interaction,posting,hybrid,15,125,0,0,0,0,synthetic demo row
180,2025-12-15,2025-2026,December,partner_engagement,large_scale_event,presentation,in_person,69,75,2,0,0,0,synthetic demo row
181,2026-01-15,2025-2026,January,platform_outcomes,opportunity_posting,advising,virtual,73,0,0,0,0,305,synthetic demo row
182,2026-01-15,2025-2026,January,partner_engagement,partner_event,skill_building,virtual,137,303,14,0,0,0,synthetic demo row
183,2026-01-15,2025-2026,January,partner_engagement,large_scale_event,advising,not_applicable,116,278,15,0,0,0,synthetic demo row
184,2026-01-15,2025-2026,January,program_activity,workshop,skill_building,in_person,109,194,0,0,0,0,synthetic demo row
185,2026-01-15,2025-2026,January,platform_outcomes,opportunity_posting,orientation,not_applicable,46,0,0,0,0,178,synthetic demo row
186,2026-01-15,2025-2026,January,program_activity,workshop,networking,in_person,107,301,0,0,0,0,synthetic demo row
187,2026-01-15,2025-2026,January,partner_engagement,partner_event,skill_building,in_person,27,107,8,0,0,0,synthetic demo row
188,2026-01-15,2025-2026,January,platform_outcomes,opportunity_posting,networking,in_person,108,0,0,0,0,452,synthetic demo row
189,2026-01-15,2025-2026,January,platform_outcomes,platform_activity,presentation,hybrid,123,0,0,946,47,0,synthetic demo row
190,2026-01-15,2025-2026,January,partner_engagement,large_scale_event,login,in_person,132,292,14,0,0,0,synthetic demo row
191,2026-02-15,2025-2026,February,program_activity,outreach_session,presentation,hybrid,73,213,0,0,0,0,synthetic demo row
192,2026-02-15,2025-2026,February,partner_engagement,partner_event,posting,virtual,129,160,0,0,0,0,synthetic demo row
193,2026-02-15,2025-2026,February,platform_outcomes,platform_activity,networking,not_applicable,45,0,0,736,27,0,synthetic demo row
194,2026-02-15,2025-2026,February,program_activity,service_interaction,orientation,in_person,62,91,0,0,0,0,synthetic demo row
195,2026-02-15,2025-2026,February,platform_outcomes,platform_activity,networking,hybrid,44,0,0,1120,169,0,synthetic demo row
196,2026-02-15,2025-2026,February,partner_engagement,partner_event,orientation,virtual,128,248,7,0,0,0,synthetic demo row
197,2026-02-15,2025-2026,February,partner_engagement,partner_event,posting,virtual,53,206,16,0,0,0,synthetic demo row
198,2026-02-15,2025-2026,February,platform_outcomes,opportunity_posting,login,not_applicable,22,0,0,0,0,151,synthetic demo row
199,2026-02-15,2025-2026,February,program_activity,workshop,login,in_person,134,202,0,0,0,0,synthetic demo row
200,2026-02-15,2025-2026,February,program_activity,workshop,networking,not_applicable,81,231,0,0,0,0,synthetic demo row
